passenger_id,gender,age_band,passenger_key
P1000,F,46-60,1
P1001,M,<18,2
P1002,M,60+,3
P1003,F,60+,4
P1004,M,18-25,5
P1006,M,60+,6
P1007,M,60+,7
P1008,M,60+,8
P1009,M,60+,9
P1010,M,18-25,10
P1011,M,<18,11
P1013,M,46-60,12
P1014,F,<18,13
P1015,F,60+,14
P1016,M,26-35,15
P1017,F,36-45,16
P1018,F,<18,17
P1019,M,60+,18
P1020,M,46-60,19
P1021,M,18-25,20
P1022,F,26-35,21
P1023,F,60+,22
P1024,M,46-60,23
P1025,M,18-25,24
P1026,M,60+,25
P1027,F,46-60,26
P1028,F,46-60,27
P1029,F,36-45,28
P1030,F,46-60,29
P1031,M,60+,30
P1032,M,<18,31
P1033,M,60+,32
P1034,M,60+,33
P1035,F,46-60,34
P1036,F,60+,35
P1037,M,46-60,36
P1038,M,46-60,37
P1039,F,60+,38
P1040,M,<18,39
P1041,F,46-60,40
P1043,M,18-25,41
P1044,M,60+,42
P1045,M,36-45,43
P1046,M,18-25,44
P1047,M,<18,45
P1048,M,60+,46
P1049,F,46-60,47
P1051,F,<18,48
P1052,F,46-60,49
P1053,F,<18,50
P1054,M,60+,51
P1055,M,46-60,52
P1057,M,36-45,53
P1058,F,<18,54
P1059,F,46-60,55
P1060,M,26-35,56
P1061,M,60+,57
P1062,M,60+,58
P1063,F,36-45,59
P1064,M,46-60,60
P1065,F,<18,61
P1066,F,<18,62
P1067,F,<18,63
P1068,M,46-60,64
P1069,M,<18,65
P1070,F,46-60,66
P1071,M,60+,67
P1072,M,18-25,68
P1073,M,36-45,69
P1074,F,26-35,70
P1076,M,60+,71
P1078,M,46-60,72
P1079,M,<18,73
P1080,M,60+,74
P1081,M,60+,75
P1082,F,60+,76
P1083,F,60+,77
P1084,F,36-45,78
P1085,M,60+,79
P1086,M,60+,80
P1087,M,60+,81
P1089,M,18-25,82
P1090,F,26-35,83
P1091,F,60+,84
P1092,F,46-60,85
P1093,F,36-45,86
P1094,F,26-35,87
P1095,F,<18,88
P1096,M,36-45,89
P1097,M,60+,90
P1098,F,60+,91
P1099,F,60+,92
P1100,M,<18,93
P1101,F,60+,94
P1102,F,<18,95
P1103,M,<18,96
P1104,F,60+,97
P1105,F,60+,98
P1106,F,<18,99
P1107,M,60+,100
P1108,M,<18,101
P1109,M,26-35,102
P1110,F,26-35,103
P1111,F,26-35,104
P1112,M,<18,105
P1113,F,36-45,106
P1114,F,26-35,107
P1115,F,<18,108
P1117,F,60+,109
P1118,M,<18,110
P1119,F,26-35,111
P1121,F,46-60,112
P1122,M,18-25,113
P1123,F,60+,114
P1124,M,60+,115
P1125,F,36-45,116
P1126,M,36-45,117
P1127,F,60+,118
P1128,M,26-35,119
P1129,F,60+,120
P1130,M,46-60,121
P1131,M,60+,122
P1133,F,<18,123
P1134,M,<18,124
P1135,F,<18,125
P1136,M,26-35,126
P1137,M,<18,127
P1138,M,60+,128
P1139,F,<18,129
P1140,M,36-45,130
P1141,M,60+,131
P1143,F,60+,132
P1144,F,46-60,133
P1145,F,<18,134
P1146,M,18-25,135
P1147,M,<18,136
P1148,M,36-45,137
P1149,M,26-35,138
P1150,F,36-45,139
P1152,M,26-35,140
P1153,F,60+,141
P1154,M,46-60,142
P1155,M,60+,143
P1156,M,26-35,144
P1157,M,60+,145
P1158,M,36-45,146
P1159,M,36-45,147
P1160,F,60+,148
P1162,M,<18,149
P1163,M,26-35,150
P1164,F,26-35,151
P1165,M,36-45,152
P1166,M,60+,153
P1167,M,26-35,154
P1168,F,60+,155
P1170,F,60+,156
P1171,M,60+,157
P1172,F,<18,158
P1173,F,26-35,159
P1174,M,60+,160
P1175,F,60+,161
P1176,M,<18,162
P1178,M,60+,163
P1179,M,26-35,164
P1180,F,<18,165
P1181,M,60+,166
P1182,M,36-45,167
P1183,F,46-60,168
P1184,M,36-45,169
P1185,M,18-25,170
P1186,F,60+,171
P1187,F,46-60,172
P1189,M,60+,173
P1190,F,46-60,174
P1191,F,60+,175
P1192,M,46-60,176
P1193,F,46-60,177
P1194,M,<18,178
P1195,M,36-45,179
P1197,M,<18,180
P1198,M,46-60,181
P1200,F,46-60,182
P1201,F,<18,183
P1202,F,<18,184
P1203,M,46-60,185
P1204,M,60+,186
P1205,M,<18,187
P1206,M,18-25,188
P1207,F,<18,189
P1208,M,46-60,190
P1209,M,36-45,191
P1210,F,26-35,192
P1211,F,60+,193
P1212,F,26-35,194
P1213,F,60+,195
P1214,M,46-60,196
P1215,M,60+,197
P1216,F,46-60,198
P1217,M,<18,199
P1218,M,36-45,200
P1219,M,18-25,201
P1220,F,60+,202
P1221,M,60+,203
P1222,F,60+,204
P1223,M,<18,205
P1224,M,<18,206
P1225,M,60+,207
P1226,F,46-60,208
P1227,M,60+,209
P1228,F,60+,210
P1229,F,<18,211
P1230,F,18-25,212
P1231,M,46-60,213
P1232,M,36-45,214
P1233,M,18-25,215
P1234,M,60+,216
P1236,F,18-25,217
P1237,F,60+,218
P1238,M,46-60,219
P1239,F,26-35,220
P1240,M,36-45,221
P1242,M,60+,222
P1243,M,<18,223
P1244,F,<18,224
P1245,F,46-60,225
P1246,F,60+,226
P1247,F,46-60,227
P1249,F,26-35,228
P1250,F,36-45,229
P1251,F,<18,230
P1252,M,<18,231
P1254,F,<18,232
P1255,M,<18,233
P1256,F,46-60,234
P1258,M,60+,235
P1259,M,36-45,236
P1260,M,26-35,237
P1262,F,18-25,238
P1263,F,46-60,239
P1264,M,60+,240
P1265,F,<18,241
P1266,F,18-25,242
P1268,M,46-60,243
P1269,M,26-35,244
P1271,F,60+,245
P1272,F,60+,246
P1273,F,36-45,247
P1274,M,36-45,248
P1275,M,60+,249
P1276,F,60+,250
P1277,M,18-25,251
P1278,M,18-25,252
P1279,M,60+,253
P1280,M,60+,254
P1281,F,46-60,255
P1282,M,26-35,256
P1283,M,60+,257
P1284,M,60+,258
P1285,M,36-45,259
P1286,F,26-35,260
P1287,F,60+,261
P1288,M,26-35,262
P1289,M,<18,263
P1290,M,18-25,264
P1292,M,18-25,265
P1293,M,<18,266
P1295,M,60+,267
P1296,F,<18,268
P1297,F,26-35,269
P1298,M,46-60,270
P1299,F,60+,271
P1300,F,46-60,272
P1301,F,60+,273
P1302,F,18-25,274
P1303,F,26-35,275
P1305,M,46-60,276
P1306,F,46-60,277
P1307,F,<18,278
P1308,F,26-35,279
P1309,M,26-35,280
P1310,F,18-25,281
P1311,M,26-35,282
P1312,F,26-35,283
P1313,M,60+,284
P1314,M,60+,285
P1315,F,60+,286
P1316,F,46-60,287
P1317,M,18-25,288
P1318,F,<18,289
P1319,M,26-35,290
P1321,M,46-60,291
P1322,M,<18,292
P1324,F,26-35,293
P1325,M,46-60,294
P1326,M,<18,295
P1327,F,36-45,296
P1328,M,18-25,297
P1330,F,46-60,298
P1331,F,46-60,299
P1332,M,60+,300
P1333,M,60+,301
P1334,M,26-35,302
P1335,F,60+,303
P1336,M,26-35,304
P1337,F,60+,305
P1338,M,18-25,306
P1339,F,18-25,307
P1340,M,46-60,308
P1341,M,46-60,309
P1343,F,46-60,310
P1344,F,18-25,311
P1345,M,26-35,312
P1346,M,46-60,313
P1347,F,60+,314
P1348,F,18-25,315
P1349,F,60+,316
P1350,M,26-35,317
P1353,F,26-35,318
P1354,M,<18,319
P1355,F,36-45,320
P1356,F,46-60,321
P1357,F,36-45,322
P1358,F,36-45,323
P1359,F,26-35,324
P1360,M,46-60,325
P1361,F,18-25,326
P1362,F,18-25,327
P1363,F,<18,328
P1364,M,46-60,329
P1365,F,<18,330
P1366,M,46-60,331
P1367,F,36-45,332
P1368,F,36-45,333
P1369,M,18-25,334
P1370,F,60+,335
P1371,M,<18,336
P1372,M,<18,337
P1373,F,<18,338
P1374,M,60+,339
P1375,F,60+,340
P1376,F,<18,341
P1377,M,60+,342
P1378,M,26-35,343
P1379,M,60+,344
P1380,M,60+,345
P1381,F,60+,346
P1382,F,46-60,347
P1383,M,18-25,348
P1384,F,46-60,349
P1385,F,60+,350
P1386,F,60+,351
P1387,F,18-25,352
P1388,M,46-60,353
P1389,M,46-60,354
P1390,F,60+,355
P1391,M,46-60,356
P1392,M,46-60,357
P1393,M,36-45,358
P1394,F,60+,359
P1395,F,<18,360
P1396,F,46-60,361
P1397,M,46-60,362
P1398,F,<18,363
P1399,F,46-60,364
P1400,M,46-60,365
P1401,F,<18,366
P1403,M,<18,367
P1404,M,46-60,368
P1405,M,46-60,369
P1406,F,36-45,370
P1408,F,<18,371
P1409,M,<18,372
P1410,M,26-35,373
P1411,F,18-25,374
P1413,M,60+,375
P1414,M,18-25,376
P1415,M,46-60,377
P1416,M,46-60,378
P1417,F,60+,379
P1418,M,18-25,380
P1420,F,<18,381
P1421,F,<18,382
P1422,M,46-60,383
P1423,M,<18,384
P1424,M,26-35,385
P1425,M,46-60,386
P1426,F,60+,387
P1427,M,<18,388
P1428,M,<18,389
P1429,F,60+,390
P1430,M,60+,391
P1431,F,60+,392
P1432,F,60+,393
P1433,F,18-25,394
P1434,F,60+,395
P1435,F,60+,396
P1436,F,26-35,397
P1437,F,<18,398
P1438,F,46-60,399
P1439,M,60+,400
P1440,M,46-60,401
