booking_id,passenger_key,flight_key,status,booking_date,seat_number
B1000,,AI192_2026-04-20_230541,CANCELLED,2025-06-14 11:37:36.951,3D
B1001,,6F026_2026-04-20_224642,CANCELLED,2025-11-02 11:37:36.951,18A
B1002,77.0,SJ010_2026-04-20_233841,CANCELLED,2025-08-25 11:37:36.951,30C
B1003,329.0,AI069_2026-04-20_224341,CONFIRMED,2025-12-30 11:37:36.951,33A
B1004,792.0,UK003_2026-04-20_214141,PENDING,2025-10-02 11:37:36.951,25C
B1005,501.0,AI048_2026-04-20_222341,CONFIRMED,2025-08-31 11:37:36.951,13D
B1006,309.0,AI140_2026-04-20_222541,CANCELLED,2025-06-29 11:37:36.951,17F
B1007,747.0,UK167_2026-04-20_224541,CONFIRMED,2026-03-12 11:37:36.951,22E
B1008,370.0,AI245_2026-04-20_230741,PENDING,2025-09-07 11:37:36.951,34F
B1009,385.0,SJ158_2026-04-20_230541,CANCELLED,2025-04-28 11:37:36.951,33C
B1010,,AI155_2026-04-20_233541,CONFIRMED,2025-11-24 11:37:36.951,15B
B1011,85.0,AI179_2026-04-20_204141,CONFIRMED,2025-10-25 11:37:36.951,22C
B1012,755.0,AI137_2026-04-20_224941,PENDING,2025-08-15 11:37:36.951,28B
B1013,556.0,SJ001_2026-04-20_202841,CONFIRMED,2025-07-20 11:37:36.951,26E
B1014,374.0,SJ172_2026-04-20_215841,PENDING,2025-09-15 11:37:36.951,21E
B1015,392.0,UK094_2026-04-20_232641,UNKNOWN,2025-10-21 11:37:36.951,6F
B1016,611.0,UK027_2026-04-20_224441,CANCELLED,2026-01-13 11:37:36.951,6A
B1017,146.0,UK067_2026-04-20_213641,CONFIRMED,2026-04-04 11:37:36.951,13B
B1018,12.0,6F196_2026-04-20_230441,CANCELLED,2026-03-25 11:37:36.951,19B
B1019,337.0,6F164_2026-04-20_221841,CANCELLED,2025-07-31 11:37:36.951,19A
B1020,206.0,SJ112_2026-04-20_222041,CONFIRMED,2025-12-06 11:37:36.951,27B
B1021,,6F190_2026-04-20_200241,CANCELLED,2025-12-07 11:37:36.951,4E
B1022,68.0,AI080_2026-04-20_230341,CONFIRMED,2026-03-25 11:37:36.951,16F
B1023,,6F213_2026-04-20_210541,PENDING,2026-02-03 11:37:36.951,24B
B1024,467.0,AI115_2026-04-20_193741,PENDING,2025-06-21 11:37:36.951,30F
B1025,547.0,SJ049_2026-04-20_202641,PENDING,2026-03-18 11:37:36.951,1B
B1026,197.0,AI058_2026-04-20_224041,CONFIRMED,2025-06-27 11:37:36.951,32C
B1027,868.0,UK036_2026-04-20_194841,CONFIRMED,2025-07-25 11:37:36.951,22A
B1028,546.0,SJ239_2026-04-20_222441,CANCELLED,2025-05-25 11:37:36.951,26E
B1029,494.0,6F025_2026-04-20_230241,CANCELLED,2025-06-06 11:37:36.951,19C
B1030,,6F236_2026-04-20_203541,CANCELLED,2026-03-18 11:37:36.951,21E
B1031,,AI060_2026-04-20_215841,CANCELLED,2025-11-16 11:37:36.951,1E
B1032,841.0,UK021_2026-04-20_220041,CANCELLED,2025-09-03 11:37:36.951,18E
B1033,883.0,UK026_2026-04-20_213841,UNKNOWN,2025-05-06 11:37:36.951,19A
B1034,201.0,SJ179_2026-04-20_200941,CONFIRMED,2025-12-31 11:37:36.951,22F
B1035,748.0,6F251_2026-04-20_225641,PENDING,2025-08-21 11:37:36.951,11D
B1036,654.0,SJ149_2026-04-20_212041,PENDING,2025-11-24 11:37:36.951,5B
B1037,202.0,AI188_2026-04-20_201641,PENDING,2026-03-20 11:37:36.951,33E
B1038,353.0,SJ093_2026-04-20_215541,PENDING,2026-01-01 11:37:36.951,12D
B1039,506.0,SJ205_2026-04-20_215641,CONFIRMED,2025-08-21 11:37:36.951,11E
B1040,,6F099_2026-04-20_222441,CONFIRMED,2025-08-08 11:37:36.951,26B
B1041,40.0,UK176_2026-04-20_184141,CONFIRMED,2025-05-28 11:37:36.951,25C
B1042,,UK200_2026-04-20_205441,CANCELLED,2025-12-02 11:37:36.951,24F
B1043,779.0,6F195_2026-04-20_214441,CANCELLED,2025-11-22 11:37:36.951,8E
B1044,256.0,6F174_2026-04-20_213641,PENDING,2026-04-12 11:37:36.951,16C
B1045,53.0,SJ214_2026-04-20_205441,UNKNOWN,2026-03-19 11:37:36.951,18C
B1046,727.0,UK059_2026-04-20_203341,CONFIRMED,2025-10-14 11:37:36.951,2C
B1047,,6F151_2026-04-20_194441,PENDING,2025-12-29 11:37:36.951,7C
B1048,491.0,SJ236_2026-04-20_180341,PENDING,2025-09-19 11:37:36.951,18C
B1049,68.0,SJ153_2026-04-20_203741,UNKNOWN,2025-07-28 11:37:36.951,3C
B1050,791.0,AI220_2026-04-20_201941,PENDING,2026-01-15 11:37:36.951,7D
B1051,826.0,6F028_2026-04-20_194941,CANCELLED,2025-07-05 11:37:36.951,16A
B1052,119.0,UK209_2026-04-20_190241,CANCELLED,2025-12-30 11:37:36.951,33B
B1053,543.0,UK216_2026-04-20_183341,PENDING,2026-04-01 11:37:36.951,28B
B1054,749.0,AI132_2026-04-20_193241,CANCELLED,2026-04-11 11:37:36.951,19C
B1055,386.0,6F012_2026-04-20_180641,CANCELLED,2025-10-14 11:37:36.951,13F
B1056,848.0,UK173_2026-04-20_170641,CANCELLED,2026-03-24 11:37:36.951,15B
B1057,599.0,SJ047_2026-04-20_204441,CANCELLED,2025-08-20 11:37:36.951,14F
B1058,624.0,SJ043_2026-04-20_185941,PENDING,2025-12-07 11:37:36.951,8C
B1059,115.0,UK140_2026-04-20_193741,CONFIRMED,2026-01-03 11:37:36.951,23B
B1060,62.0,6F086_2026-04-20_202341,CONFIRMED,2025-12-30 11:37:36.951,11A
B1061,,6F114_2026-04-20_201041,CANCELLED,2026-04-05 11:37:36.951,19C
B1062,577.0,UK153_2026-04-20_165241,CANCELLED,2025-06-12 11:37:36.951,15D
B1063,284.0,6F149_2026-04-20_175741,CANCELLED,2025-05-19 11:37:36.951,9A
B1064,294.0,UK145_2026-04-20_183041,CONFIRMED,2025-09-14 11:37:36.951,24E
B1065,515.0,UK010_2026-04-20_175341,CANCELLED,2026-03-06 11:37:36.951,7B
B1066,,SJ003_2026-04-20_195041,PENDING,2025-11-05 11:37:36.951,1B
B1067,736.0,SJ160_2026-04-20_194541,PENDING,2025-07-23 11:37:36.951,7F
B1068,462.0,UK224_2026-04-20_162541,PENDING,2025-11-22 11:37:36.951,23A
B1069,75.0,UK152_2026-04-20_172441,CONFIRMED,2025-08-02 11:37:36.951,16E
B1070,543.0,SJ034_2026-04-20_152041,CANCELLED,2025-09-22 11:37:36.951,15D
B1071,2.0,UK215_2026-04-20_173841,CANCELLED,2025-12-21 11:37:36.951,15F
B1072,185.0,UK089_2026-04-20_153841,CANCELLED,2025-08-10 11:37:36.951,18F
B1073,596.0,6F180_2026-04-20_152441,CONFIRMED,2025-12-04 11:37:36.951,16A
B1074,719.0,6F188_2026-04-20_145741,CONFIRMED,2025-09-25 11:37:36.951,7A
B1075,367.0,UK131_2026-04-20_153341,CONFIRMED,2026-01-03 11:37:36.951,2F
B1076,95.0,UK055_2026-04-20_164841,CONFIRMED,2025-05-04 11:37:36.951,12B
B1077,490.0,UK181_2026-04-20_164441,PENDING,2025-05-03 11:37:36.951,3A
B1078,332.0,6F077_2026-04-20_145541,CONFIRMED,2025-09-21 11:37:36.951,1B
B1079,193.0,SJ085_2026-04-20_144141,CONFIRMED,2025-06-03 11:37:36.951,10D
B1080,526.0,SJ023_2026-04-20_172741,CONFIRMED,2025-06-05 11:37:36.951,22D
B1081,857.0,SJ202_2026-04-20_172141,CANCELLED,2025-11-13 11:37:36.951,29C
B1082,190.0,SJ150_2026-04-20_153341,CANCELLED,2025-09-09 11:37:36.951,30A
B1083,683.0,SJ116_2026-04-20_173341,CANCELLED,2025-05-12 11:37:36.951,9A
B1084,803.0,6F270_2026-04-20_181441,PENDING,2025-06-14 11:37:36.951,16E
B1085,,UK150_2026-04-20_183141,PENDING,2026-03-24 11:37:36.951,12A
B1086,569.0,SJ237_2026-04-20_163241,CONFIRMED,2026-02-16 11:37:36.951,5D
B1087,670.0,AI221_2026-04-20_161841,CANCELLED,2025-05-08 11:37:36.951,2F
B1088,437.0,SJ081_2026-04-20_170441,PENDING,2026-03-25 11:37:36.951,31A
B1089,97.0,UK189_2026-04-20_150741,CANCELLED,2025-09-03 11:37:36.951,25F
B1090,453.0,SJ068_2026-04-20_164441,PENDING,2025-05-16 11:37:36.951,31C
B1091,,6F043_2026-04-20_171741,PENDING,2025-08-18 11:37:36.951,25D
B1092,43.0,UK187_2026-04-20_165241,CONFIRMED,2026-03-18 11:37:36.951,16D
B1093,,UK074_2026-04-20_164441,CONFIRMED,2025-05-11 11:37:36.951,25E
B1094,298.0,UK004_2026-04-20_175641,PENDING,2026-01-07 11:37:36.951,24C
B1095,197.0,6F194_2026-04-20_162941,CONFIRMED,2025-07-30 11:37:36.951,14B
B1096,877.0,UK068_2026-04-20_162841,PENDING,2026-01-03 11:37:36.951,12B
B1097,856.0,6F017_2026-04-20_152541,UNKNOWN,2025-08-26 11:37:36.951,34F
B1098,450.0,6F245_2026-04-20_152541,UNKNOWN,2025-10-15 11:37:36.951,13D
B1099,726.0,6F254_2026-04-20_142641,CONFIRMED,2025-12-07 11:37:36.951,26E
B1100,825.0,UK077_2026-04-20_162241,CONFIRMED,2026-03-05 11:37:36.951,16D
B1101,752.0,AI029_2026-04-20_132941,CONFIRMED,2025-07-19 11:37:36.951,3D
B1102,409.0,SJ196_2026-04-20_145841,UNKNOWN,2025-10-06 11:37:36.951,15F
B1103,490.0,AI242_2026-04-20_164141,CANCELLED,2025-08-08 11:37:36.951,20D
B1104,467.0,AI242_2026-04-20_164141,CANCELLED,2025-09-12 11:37:36.951,16E
B1105,417.0,SJ044_2026-04-20_150641,CONFIRMED,2025-09-11 11:37:36.951,19F
B1106,499.0,UK063_2026-04-20_162941,CONFIRMED,2025-09-01 11:37:36.951,21F
B1107,490.0,AI056_2026-04-20_134441,CONFIRMED,2025-05-19 11:37:36.951,30F
B1108,493.0,UK207_2026-04-20_162141,CANCELLED,2025-10-11 11:37:36.951,14B
B1109,,UK166_2026-04-20_123941,CANCELLED,2025-12-03 11:37:36.951,33D
B1110,871.0,6F261_2026-04-20_143141,PENDING,2025-12-17 11:37:36.951,12B
B1111,895.0,UK134_2026-04-20_134441,CANCELLED,2025-12-25 11:37:36.951,34A
B1112,14.0,6F152_2026-04-20_152141,PENDING,2025-10-02 11:37:36.951,27A
B1113,520.0,SJ089_2026-04-20_124241,CONFIRMED,2025-11-23 11:37:36.951,5A
B1114,872.0,6F123_2026-04-20_152641,CANCELLED,2025-09-26 11:37:36.951,2E
B1115,222.0,AI025_2026-04-20_144641,CONFIRMED,2025-08-23 11:37:36.951,10A
B1116,850.0,6F030_2026-04-20_142041,CONFIRMED,2025-12-05 11:37:36.951,19B
B1117,188.0,SJ222_2026-04-20_141541,CONFIRMED,2025-09-02 11:37:36.951,28F
B1118,816.0,UK109_2026-04-20_160641,CONFIRMED,2026-04-03 11:37:36.951,34B
B1119,,SJ117_2026-04-20_131041,CANCELLED,2025-11-25 11:37:36.951,21F
B1120,681.0,SJ142_2026-04-20_151441,CONFIRMED,2025-08-12 11:37:36.951,12D
B1121,889.0,SJ142_2026-04-20_151441,PENDING,2025-06-01 11:37:36.951,17C
B1122,697.0,AI030_2026-04-20_133341,CANCELLED,2025-05-02 11:37:36.951,20B
B1123,635.0,6F097_2026-04-20_153241,CONFIRMED,2025-09-23 11:37:36.951,8A
B1124,754.0,6F129_2026-04-20_142841,CANCELLED,2025-05-23 11:37:36.951,5C
B1125,657.0,6F181_2026-04-20_145541,PENDING,2026-01-15 11:37:36.951,27E
B1126,107.0,AI072_2026-04-20_153441,CONFIRMED,2025-10-20 11:37:36.951,10E
B1127,528.0,SJ154_2026-04-20_144741,PENDING,2025-06-29 11:37:36.951,2E
B1128,270.0,AI031_2026-04-20_130541,CONFIRMED,2026-04-08 11:37:36.951,10D
B1129,745.0,AI031_2026-04-20_130541,PENDING,2025-09-18 11:37:36.951,26F
B1130,442.0,6F158_2026-04-20_115841,CONFIRMED,2025-12-26 11:37:36.951,34E
B1131,361.0,6F184_2026-04-20_130541,CANCELLED,2025-06-16 11:37:36.951,1C
B1132,358.0,UK141_2026-04-20_133841,CONFIRMED,2025-06-20 11:37:36.951,10D
B1133,70.0,6F168_2026-04-20_121841,CANCELLED,2025-12-29 11:37:36.951,23D
B1134,873.0,6F051_2026-04-20_135841,CONFIRMED,2025-07-28 11:37:36.951,34C
B1135,441.0,6F047_2026-04-20_135041,CONFIRMED,2025-12-02 11:37:36.951,20E
B1136,95.0,UK156_2026-04-20_115041,PENDING,2025-10-26 11:37:36.951,28E
B1137,268.0,AI094_2026-04-20_144441,PENDING,2025-09-01 11:37:36.951,13E
B1138,,AI038_2026-04-20_110541,PENDING,2025-07-14 11:37:36.951,6C
B1139,196.0,6F255_2026-04-20_115941,CONFIRMED,2026-01-19 11:37:36.951,29F
B1140,863.0,SJ025_2026-04-20_120241,CONFIRMED,2026-01-23 11:37:36.951,29D
B1141,285.0,SJ185_2026-04-20_142141,CONFIRMED,2025-10-28 11:37:36.951,9C
B1142,37.0,6F259_2026-04-20_141041,CANCELLED,2026-01-21 11:37:36.951,5C
B1143,235.0,6F073_2026-04-20_113841,CANCELLED,2026-04-07 11:37:36.951,15A
B1144,645.0,AI091_2026-04-20_105241,CONFIRMED,2025-09-26 11:37:36.951,6D
B1145,6.0,6F191_2026-04-20_144141,PENDING,2025-08-23 11:37:36.951,15D
B1146,46.0,UK228_2026-04-20_115841,PENDING,2025-08-30 11:37:36.951,25A
B1147,492.0,6F146_2026-04-20_135141,PENDING,2026-03-25 11:37:36.951,11E
B1148,148.0,6F068_2026-04-20_111741,CONFIRMED,2025-10-13 11:37:36.951,19A
B1149,775.0,SJ218_2026-04-20_115841,PENDING,2026-01-08 11:37:36.951,30F
B1150,161.0,UK083_2026-04-20_141041,CONFIRMED,2025-09-25 11:37:36.951,12A
B1151,537.0,SJ007_2026-04-20_100341,CANCELLED,2026-01-18 11:37:36.951,29B
B1152,2.0,AI077_2026-04-20_134541,PENDING,2025-08-14 11:37:36.951,27A
B1153,801.0,UK017_2026-04-20_131441,CANCELLED,2025-12-20 11:37:36.951,8D
B1154,414.0,6F229_2026-04-20_131041,PENDING,2026-02-17 11:37:36.951,24A
B1155,831.0,6F074_2026-04-20_110941,CONFIRMED,2025-10-08 11:37:36.951,6D
B1156,582.0,SJ088_2026-04-20_135441,CONFIRMED,2026-03-25 11:37:36.951,5E
B1157,249.0,SJ167_2026-04-20_131841,CONFIRMED,2025-06-28 11:37:36.951,18B
B1158,,6F234_2026-04-20_112041,CONFIRMED,2025-07-20 11:37:36.951,22A
B1159,570.0,UK071_2026-04-20_105041,PENDING,2025-12-10 11:37:36.951,22F
B1160,,AI178_2026-04-20_130441,CANCELLED,2025-11-21 11:37:36.951,29A
B1161,715.0,UK104_2026-04-20_123041,CONFIRMED,2025-11-14 11:37:36.951,12A
B1162,26.0,AI146_2026-04-20_104041,UNKNOWN,2025-04-22 11:37:36.951,32D
B1163,300.0,SJ235_2026-04-20_095741,CANCELLED,2025-11-10 11:37:36.951,13D
B1164,1.0,6F209_2026-04-20_084041,CONFIRMED,2025-04-24 11:37:36.951,24A
B1165,172.0,AI129_2026-04-20_102941,CANCELLED,2025-08-20 11:37:36.951,2F
B1166,52.0,SJ141_2026-04-20_100041,CONFIRMED,2026-01-23 11:37:36.951,34D
B1167,499.0,SJ018_2026-04-20_105841,CANCELLED,2026-02-02 11:37:36.951,9F
B1168,104.0,UK120_2026-04-20_091941,CANCELLED,2025-10-14 11:37:36.951,11C
B1169,713.0,AI078_2026-04-20_085841,CONFIRMED,2025-11-15 11:37:36.951,11E
B1170,280.0,AI079_2026-04-20_110441,PENDING,2025-09-14 11:37:36.951,15E
B1171,34.0,UK087_2026-04-20_094941,CANCELLED,2025-09-19 11:37:36.951,21A
B1172,399.0,UK133_2026-04-20_100441,CONFIRMED,2026-01-17 11:37:36.951,8F
B1173,656.0,AI222_2026-04-20_121041,CANCELLED,2025-06-01 11:37:36.951,22E
B1174,,6F049_2026-04-20_100041,CANCELLED,2026-04-12 11:37:36.951,19D
B1175,736.0,6F105_2026-04-20_114641,PENDING,2026-01-29 11:37:36.951,27D
B1176,540.0,SJ226_2026-04-20_084741,CANCELLED,2025-04-17 11:37:36.951,7C
B1177,526.0,SJ227_2026-04-20_083241,CANCELLED,2025-07-29 11:37:36.951,34D
B1178,293.0,6F034_2026-04-20_115341,CONFIRMED,2026-02-05 11:37:36.951,34E
B1179,579.0,SJ078_2026-04-20_094141,CONFIRMED,2025-10-03 11:37:36.951,33D
B1180,277.0,AI240_2026-04-20_101941,PENDING,2026-04-10 11:37:36.951,22F
B1181,,SJ002_2026-04-20_075441,CANCELLED,2026-03-29 11:37:36.951,12E
B1182,655.0,AI044_2026-04-20_090341,CANCELLED,2025-08-11 11:37:36.951,3A
B1183,561.0,UK076_2026-04-20_080341,CANCELLED,2025-06-22 11:37:36.951,8C
B1184,101.0,6F232_2026-04-20_103941,PENDING,2025-08-01 11:37:36.951,28E
B1185,336.0,SJ228_2026-04-20_082941,CANCELLED,2025-08-16 11:37:36.951,25E
B1186,321.0,SJ074_2026-04-20_112141,CONFIRMED,2026-04-04 11:37:36.951,1B
B1187,165.0,UK229_2026-04-20_074041,PENDING,2025-08-04 11:37:36.951,7F
B1188,320.0,AI208_2026-04-20_083841,CONFIRMED,2026-04-04 11:37:36.951,6A
B1189,,AI019_2026-04-20_104941,CONFIRMED,2025-11-23 11:37:36.951,14F
B1190,63.0,6F029_2026-04-20_073141,PENDING,2025-05-23 11:37:36.951,12B
B1191,,6F018_2026-04-20_105741,CONFIRMED,2025-04-27 11:37:36.951,25B
B1192,622.0,AI059_2026-04-20_091641,CANCELLED,2025-06-23 11:37:36.951,7D
B1193,165.0,AI159_2026-04-20_092341,PENDING,2025-05-22 11:37:36.951,13D
B1194,425.0,6F091_2026-04-20_101041,CONFIRMED,2025-07-11 11:37:36.951,14F
B1195,394.0,6F084_2026-04-20_103441,CANCELLED,2025-07-20 11:37:36.951,10B
B1196,423.0,UK170_2026-04-20_094241,CANCELLED,2026-01-15 11:37:36.951,20C
B1197,,UK212_2026-04-20_104641,CONFIRMED,2025-05-19 11:37:36.951,2E
B1198,818.0,SJ022_2026-04-20_075641,UNKNOWN,2025-06-16 11:37:36.951,29A
