flight_key,flight_id,airline_key,route_key,date_key,departure_time,arrival_time,duration_minutes,is_overnight,is_anomaly,is_airline_missing
SJ010_2026-04-20_233841,SJ010,1,1,1,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,True,False,False
AI155_2026-04-20_233541,AI155,2,2,1,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,True,False,False
UK094_2026-04-20_232641,UK094,3,2,1,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,True,False,False
AI245_2026-04-20_230741,AI245,2,2,1,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,True,False,False
AI192_2026-04-20_230541,AI192,2,3,1,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,True,False,False
SJ158_2026-04-20_230541,SJ158,1,4,1,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,True,False,False
6F196_2026-04-20_230441,6F196,4,1,1,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,True,False,False
AI080_2026-04-20_230341,AI080,2,5,1,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,True,False,False
6F025_2026-04-20_230241,6F025,4,6,1,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,False,False
6F251_2026-04-20_225641,6F251,5,7,1,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,False,False,True
AI137_2026-04-20_224941,AI137,2,8,1,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,True,False,False
6F026_2026-04-20_224642,6F026,4,2,1,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,True,False,False
UK167_2026-04-20_224541,UK167,3,9,1,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,True,False,False
UK027_2026-04-20_224441,UK027,3,2,1,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,True,False,False
AI069_2026-04-20_224341,AI069,5,10,1,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,True,False,True
AI058_2026-04-20_224041,AI058,2,2,1,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,True,False,False
AI140_2026-04-20_222541,AI140,2,8,1,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,True,False,False
SJ239_2026-04-20_222441,SJ239,1,2,1,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,True,False,False
6F099_2026-04-20_222441,6F099,4,11,1,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,False,False,False
AI048_2026-04-20_222341,AI048,2,12,1,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,True,False,False
SJ112_2026-04-20_222041,SJ112,1,13,1,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,True,False,False
6F164_2026-04-20_221841,6F164,4,6,1,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,True,False,False
UK021_2026-04-20_220041,UK021,3,14,1,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,False,False,False
SJ172_2026-04-20_215841,SJ172,1,12,1,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,True,False,False
AI060_2026-04-20_215841,AI060,2,4,1,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,False,False,False
SJ205_2026-04-20_215641,SJ205,1,15,1,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,False,False,False
SJ093_2026-04-20_215541,SJ093,1,6,1,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,False,False,False
6F195_2026-04-20_214441,6F195,4,12,1,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,False,False,False
UK003_2026-04-20_214141,UK003,5,13,1,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,True,False,True
UK026_2026-04-20_213841,UK026,3,14,1,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,False,False,False
6F174_2026-04-20_213641,6F174,4,4,1,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,False,False,False
UK067_2026-04-20_213641,UK067,3,2,1,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,True,False,False
SJ149_2026-04-20_212041,SJ149,1,14,1,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.00496666666666,False,False,False
6F213_2026-04-20_210541,6F213,4,6,1,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,True,False,False
UK200_2026-04-20_205441,UK200,3,12,1,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,False,False,False
SJ214_2026-04-20_205441,SJ214,1,16,1,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,False,False,False
SJ047_2026-04-20_204441,SJ047,1,17,1,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,False,False,False
AI179_2026-04-20_204141,AI179,2,17,1,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,True,False,False
SJ153_2026-04-20_203741,SJ153,1,18,1,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,False,False,False
6F236_2026-04-20_203541,6F236,4,8,1,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,False,False,False
UK059_2026-04-20_203341,UK059,3,14,1,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,False,False,False
SJ001_2026-04-20_202841,SJ001,1,16,1,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,True,False,False
SJ049_2026-04-20_202641,SJ049,1,12,1,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,True,False,False
6F086_2026-04-20_202341,6F086,4,19,1,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,False,False,False
AI220_2026-04-20_201941,AI220,2,8,1,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,False,False,False
AI188_2026-04-20_201641,AI188,2,20,1,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,False,False,False
6F114_2026-04-20_201041,6F114,4,16,1,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,False,False,False
SJ179_2026-04-20_200941,SJ179,1,4,1,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,False,False,False
6F190_2026-04-20_200241,6F190,4,9,1,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,True,False,False
